ncaa_name,espn_name,kaggle_name,conference,primary_color,secondary_color,tertiary_color,color_4,color_5,color_6,logo_url,color_3
A&M-Corpus Christi,Texas A&M-CC,TAM C. Christi,Southland,#0067C5,#007F3E,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/e/eb/Texas_A%26M%E2%80%93Corpus_Christi_Islanders_logo.svg/260px-Texas_A%26M%E2%80%93Corpus_Christi_Islanders_logo.svg.png,
Abilene Christian,Abil Christian,Abilene Chr,Southland,#461D7C,#FFFFFF,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/6/6c/Abilene_Christian_Wildcats_logo.svg/320px-Abilene_Christian_Wildcats_logo.svg.png,
Air Force,Air Force,Air Force,MWC,#003087,#8A8D8F,#B1B3B3,#FFC72C,#000000,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Air_Force_Falcons_Logo.png/600px-Air_Force_Falcons_Logo.png,
Akron,Akron,Akron,MAC,#041E42,#A89968,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Akron_Zips_logo.svg/200px-Akron_Zips_logo.svg.png,
Alabama,Alabama,Alabama,SEC,#9E1B32,#828A8F,#FFFFFF,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Alabama_Crimson_Tide_logo.svg/200px-Alabama_Crimson_Tide_logo.svg.png,
Alabama A&M,Alabama A&M,Alabama A&M,SWAC,#660000,#FFFFFF,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Alabama_A%26M_Bulldogs_logo.svg/201px-Alabama_A%26M_Bulldogs_logo.svg.png,
Alabama St.,Alabama State,Alabama St,SWAC,#C99700,#000000,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/7/7f/Alabama_State_Hornets_logo.svg/320px-Alabama_State_Hornets_logo.svg.png,
Albany (NY),Albany,SUNY Albany,Am. East,#461660,#EEB211,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Albany_Great_Danes_logo.svg/200px-Albany_Great_Danes_logo.svg.png,
Alcorn,Alcorn State,Alcorn St,SWAC,#46166A,#E9A713,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/8/82/Alcorn_State_athletics_logo.svg/280px-Alcorn_State_athletics_logo.svg.png,
American,American,American Univ,Patriot,#C4122E,#005099,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/American_Eagles_logo.svg/240px-American_Eagles_logo.svg.png,
Appalachian St.,Appalachian St,Appalachian St,Sunbelt,#222222,#FFCC00,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Appalachian_State_Mountaineers_logo.svg/200px-Appalachian_State_Mountaineers_logo.svg.png,
Arizona,Arizona,Arizona,Pac 12,#CC0033,#003366,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Arizona_Wildcats_logo.svg/200px-Arizona_Wildcats_logo.svg.png,
Arizona St.,Arizona State,Arizona St,Pac 12,#8C1D40,#FFC627,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/0/0a/Arizona_State_Sun_Devils_logo.svg/245px-Arizona_State_Sun_Devils_logo.svg.png,
Ark.-Pine Bluff,AR-Pine Bluff,Ark Pine Bluff,SWAC,#000000,#EEB310,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/a/a6/Arkansas%E2%80%93Pine_Bluff_Golden_Lions_logo.svg/290px-Arkansas%E2%80%93Pine_Bluff_Golden_Lions_logo.svg.png,
Arkansas,Arkansas,Arkansas,SEC,#9D2235,#FFFFFF,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Arkansas_Razorbacks_logo.svg/200px-Arkansas_Razorbacks_logo.svg.png,
Arkansas St.,Arkansas State,Arkansas St,Sunbelt,#CC092F,#000000,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Arkansas_State_Red_Wolves_wordmark.svg/200px-Arkansas_State_Red_Wolves_wordmark.svg.png,
Army West Point,Army,Army,Patriot,#D4BF91,#000000,#B2B4B3,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Army_West_Point_logo.svg/206px-Army_West_Point_logo.svg.png,
Auburn,Auburn,Auburn,SEC,#0C2340,#E87722,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Auburn_Tigers_logo.svg/200px-Auburn_Tigers_logo.svg.png,
